DeveloperStatus,Age,EdLevel,Employment,WorkExp,WorkExpLevel,YearsCode,YearOfCodingLevel,DevType,OrgSize,OrgSizeCategory,Industry,AIThreat,Career,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,LanguageCount,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,DatabaseCount,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,PlatformCount,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,WebframeCount,DevEnvsHaveWorkedWith,DevEnvsWantToWorkWith,DevEnvsAdmired,DevEnvsCount,AIModelsHaveWorkedWith,AIModelsWantToWorkWith,AIModelsAdmired,AIModelsCount,AIUsageScale,AIWorkflowSentiment,AIAccuracyTrust,AIComplex,AIToolCurrentlyUseFor,PartialAITaskCount,AIToolDontPlanToUseFor,NoAITaskCount,AIToolPlanToPartiallyUseFor,PlannedPartialAITaskCount,AIToolPlanToMostlyUseFor,PlannedMostlyAITaskCount,AIAgents,AIAgentChange,ConvertedCompYearly,JobSat,,
Professional Developer,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,Mid,23,Senior,"Developer, embedded applications or devices","1,000 to 4,999 employees",Large,Healthcare,No,Strong Interest in Changing,Germany,Assembly;C;C++;MATLAB,Assembly;C;C++,Assembly;C;C++,4,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,1,Very unfavorable,Highly distrust,I don’t use AI / Don’t know,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,77730,3,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6,Mid,14,Senior,"Developer, full-stack",100 to 499 employees,Medium,Computer Systems Design and Services,No,Strong Interest in Changing,Hong Kong (S.A.R.),Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lua;Perl;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,14,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Unknown,Unknown,10,Amazon Web Services (AWS);Cargo;Digital Ocean;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Microsoft Azure;npm;Pacman;Pip;Podman;Yarn,Cargo;Homebrew;Make;Pip;Podman,Cargo;Homebrew;Make;Pip;Podman,15,Deno;Express;Flask;React;Vue.js,Unknown,Unknown,6,Neovim;Notepad++;Vim;VSCodium;Zed,Neovim;VSCodium,Neovim;VSCodium,5,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);X Grok models,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet,11,5,Favorable,Somewhat distrust,Very poor at complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data;Learning new concepts or technologies,9,Project planning;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation,4,Unknown,1,Unknown,1,"No, no Plans","Yes, somewhat",76433,4,,
Professional Developer,Prefer not to say,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Freelancer,25,Senior,25,Senior,"Developer, embedded applications or devices",Unknown,Unknown,Computer Systems Design and Services,No,No Career Change,United States of America,Unknown,Unknown,Unknown,1,SQLite,Unknown,Unknown,2,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,1,Very unfavorable,Highly distrust,I don’t use AI / Don’t know,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,"No, no Plans","No, but my development work has significantly changed due to non-AI factors",150000,10,,
Professional Developer,55-64 years old,Some college/university study without earning a degree,Employed,15,Senior,25,Senior,"Developer, desktop or enterprise applications",20 to 99 employees,Small,Fintech,No,No Career Change,Philippines,Delphi;PowerShell;SQL,Delphi;SQL,Delphi;SQL,3,Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server,Microsoft SQL Server,4,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,2,Favorable,Neither trust nor distrust,"Good, but not great ",Unknown,1,Debugging or fixing code;Testing code,2,Learning about a codebase;Writing code;Documenting code;Committing and reviewing code;Generating content or synthetic data;Creating or maintaining documentation,6,Unknown,1,Unknown,Unknown,75410,7,,
Professional Developer,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Freelancer,12,Senior,9,Senior,Data scientist,Unknown,Unknown,Retail and Consumer Services,No,Mild Interest in Changing,Australia,Bash/Shell (all shells);HTML/CSS;JavaScript;R;SQL,Bash/Shell (all shells);Python;R,Bash/Shell (all shells);R,6,Databricks SQL;Microsoft SQL Server;PostgreSQL;Snowflake,Unknown,Unknown,5,Microsoft Azure,Unknown,Unknown,2,Unknown,Unknown,Unknown,1,Notepad++;Visual Studio;Visual Studio Code,Unknown,Unknown,4,Unknown,Unknown,Unknown,1,1,Indifferent,Somewhat distrust,Very poor at complex tasks,Unknown,1,Project planning;Writing code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Learning new concepts or technologies,9,Learning about a codebase;Documenting code;Search for answers;Creating or maintaining documentation,4,Unknown,1,"No, no Plans",Not at all or minimally,128068,7,,
Professional Developer,45-54 years old,Some college/university study without earning a degree,Employed,28,Senior,28,Senior,"Developer, full-stack",500 to 999 employees,Large,Unknown,No,No Career Change,United States of America,JavaScript;SQL;TypeScript,Unknown,Unknown,4,Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Snowflake;Valkey,Valkey,Valkey,8,Amazon Web Services (AWS);Datadog;Homebrew;npm;Pip;Vite,Datadog;Homebrew;Vite,Datadog;Homebrew;Vite,6,Express;Node.js,Unknown,Unknown,3,Claude Code;Cursor;Visual Studio Code;Zed,Visual Studio Code,Visual Studio Code,4,Anthropic: Claude Sonnet;openAI GPT (chatbot models);X Grok models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);X Grok models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);X Grok models,3,5,Very favorable,Neither trust nor distrust,Bad at complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Search for answers,7,Unknown,1,Deployment and monitoring;Predictive analytics;Generating content or synthetic data,3,Project planning;Creating or maintaining documentation,2,"Yes, Weekly","Yes, somewhat",163200,10,,
Professional Developer,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Freelancer,21,Senior,28,Senior,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",Micro,Banking/Financial Services,No,No Career Change,Mexico,C;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Go;Python;Rust,Unknown,12,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Unknown,Unknown,5,Amazon Web Services (AWS);Docker;Firebase;Maven (build tool);npm,Railway;Vercel,Unknown,8,Angular;Node.js;Spring Boot,Astro;React,Unknown,6,Android Studio;Eclipse;IntelliJ IDEA;Notepad++;Visual Studio Code,Cursor;Neovim;Windsurf,Unknown,9,Gemini (Pro Reasoning models);openAI GPT (chatbot models),Unknown,Unknown,3,4,Favorable,Neither trust nor distrust,Neither good nor bad,Debugging or fixing code,1,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics,4,Learning about a codebase;Documenting code;Testing code;Generating content or synthetic data,4,Writing code;Creating or maintaining documentation,2,"No, Planning Soon",Not at all or minimally,78959,10,,
Non-Developer (Support/Occasional),45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,25,Senior,41,Senior,Support engineer or analyst,"5,000 to 9,999 employees",Very Large,Government,No,Career Change – Voluntary,Germany,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell,7,MongoDB,Microsoft SQL Server;MongoDB,MongoDB,2,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Eclipse;Notepad++;Visual Studio;Visual Studio Code,Eclipse;Notepad++;Visual Studio;Visual Studio Code,Eclipse;Notepad++;Visual Studio;Visual Studio Code,4,Unknown,Unknown,Unknown,1,1,Unfavorable,Somewhat distrust,I don’t use AI / Don’t know,Unknown,1,Project planning;Writing code;Deployment and monitoring,3,Learning about a codebase;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,10,Unknown,1,"No, no Plans",Not at all or minimally,75410,8,,
Professional Developer,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,36,Senior,42,Senior,"Architect, software or solutions","5,000 to 9,999 employees",Very Large,Healthcare,I'm not sure,No Career Change,United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;Swift;TypeScript,Unknown,Unknown,10,Cosmos DB;Microsoft SQL Server;Redis,Unknown,Unknown,4,Cloudflare;Docker;Microsoft Azure;MSBuild;npm;NuGet;Splunk;Terraform,Unknown,Unknown,9,ASP.NET Core;Next.js;Node.js;React,Blazor,Unknown,6,Notepad++;Visual Studio;Visual Studio Code,Unknown,Unknown,4,openAI GPT (chatbot models);openAI Reasoning models,Unknown,Unknown,3,5,Very favorable,Somewhat trust,"Good, but not great ",Writing code;Documenting code;Debugging or fixing code;Committing and reviewing code;Search for answers;Creating or maintaining documentation;Learning new concepts or technologies,7,Project planning;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Other (write in):,5,Learning about a codebase;Testing code,2,Unknown,1,"No, Planning Soon","Yes, somewhat",205000,10,,
Professional Developer,55-64 years old,Some college/university study without earning a degree,Employed,39,Senior,45,Senior,"Developer, back-end",100 to 499 employees,Medium,Unknown,No,No Career Change,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL,Bash/Shell (all shells);HTML/CSS;Python;SQL,Bash/Shell (all shells);HTML/CSS;Python;SQL,7,Oracle,Unknown,Unknown,2,Microsoft Azure,Unknown,Unknown,2,Unknown,Unknown,Unknown,1,Neovim;Vim,Neovim;Vim,Neovim;Vim,2,Unknown,Unknown,Unknown,1,3,Favorable,Somewhat distrust,I don’t use AI / Don’t know,Search for answers,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,12,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,75410,8,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1,Entry,3,Mid,"Developer, full-stack",Less than 20 employees,Micro,Healthcare,No,Career Change – Voluntary,France,Bash/Shell (all shells);C++;Python;TypeScript,Bash/Shell (all shells);Go;Ruby;Rust;TypeScript,Bash/Shell (all shells);TypeScript,7,Neo4J;PostgreSQL;Redis,PostgreSQL;Redis;Supabase,PostgreSQL;Redis,4,Amazon Web Services (AWS);Cloudflare;Docker;npm;Pip;pnpm;Terraform;Vercel,Amazon Web Services (AWS);Bun;Cloudflare;Docker;Kubernetes;pnpm;Terraform;Vercel;Vite,Amazon Web Services (AWS);Cloudflare;Docker;pnpm;Terraform;Vercel,11,Express;FastAPI;Flask;Next.js;Node.js;React,Angular;Deno;Express;Next.js;React;Ruby on Rails,Express;Next.js;React,9,Cursor;Nano;Notepad++;Visual Studio Code;Zed,Cursor;Nano;Notepad++;Visual Studio Code;Windsurf,Cursor;Nano;Notepad++;Visual Studio Code,6,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;X Grok models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models,8,5,Very favorable,Somewhat trust,"Good, but not great ",Documenting code;Deployment and monitoring;Search for answers;Creating or maintaining documentation;Learning new concepts or technologies,5,Learning about a codebase;Project planning;Predictive analytics,3,Unknown,1,Unknown,1,"Yes, Daily","Yes, to a great extent",58007,8,,
Non-Developer (Support/Occasional),45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,21,Senior,40,Senior,Academic researcher,"1,000 to 4,999 employees",Large,Government,No,No Career Change,Australia,Bash/Shell (all shells);Fortran;MATLAB;Python;R;Rust;TypeScript,Bash/Shell (all shells);Python;Rust;TypeScript,Bash/Shell (all shells);Python;Rust;TypeScript,7,Redis,MongoDB;PostgreSQL;Redis,Redis,3,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Notepad++;Sublime Text;Vim;Visual Studio Code,Vim;Visual Studio Code,Vim;Visual Studio Code,4,Unknown,Unknown,Unknown,1,3,Unsure,Somewhat distrust,I don’t use AI / Don’t know,Unknown,1,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Creating or maintaining documentation;Other (write in):,9,Writing code;Documenting code;Debugging or fixing code;Search for answers;Learning new concepts or technologies,5,Unknown,1,"No, no Plans",Not at all or minimally,87763,8,,
Professional Developer,55-64 years old,Some college/university study without earning a degree,Employed,33,Senior,45,Senior,"Developer, full-stack",20 to 99 employees,Small,Software Development,No,No Career Change,United States of America,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,C#;C++;Rust,C#;C++,9,Microsoft Access;PostgreSQL,PostgreSQL;SQLite,PostgreSQL,3,Amazon Web Services (AWS);Digital Ocean;Docker;Google Cloud;Kubernetes;Make;MSBuild;npm;NuGet;Pip;Vite;Yarn,Amazon Web Services (AWS);Digital Ocean;Docker,Amazon Web Services (AWS);Digital Ocean;Docker,12,ASP.NET Core;Node.js;React,ASP.NET Core,ASP.NET Core,3,Vim;Visual Studio;Visual Studio Code,Visual Studio,Visual Studio,3,Unknown,Unknown,Unknown,1,5,Indifferent,Neither trust nor distrust,Bad at complex tasks,Writing code,1,Unknown,1,Learning about a codebase;Debugging or fixing code;Learning new concepts or technologies,3,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Creating or maintaining documentation,8,"No, Planning Soon","Yes, somewhat",210000,3,,
Professional Developer,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10,Mid,13,Senior,"Founder, technology or otherwise",Less than 20 employees,Micro,Higher Education,Yes,Strong Interest in Changing,Brazil,Dart;HTML/CSS;JavaScript;Python;Rust;SQL;Swift,Dart;JavaScript;SQL;Swift,Dart;JavaScript;SQL;Swift,7,PostgreSQL;Redis;Supabase,PostgreSQL;Redis;Supabase,PostgreSQL;Redis;Supabase,3,Unknown,Unknown,Unknown,1,Next.js;Node.js;React,Next.js;Node.js;React,Next.js;Node.js;React,3,Visual Studio Code;Windsurf;Xcode,Claude Code;Cursor;Visual Studio Code;Windsurf;Xcode,Visual Studio Code;Windsurf;Xcode,5,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models,5,4,Very favorable,Somewhat trust,"Good, but not great ",Learning about a codebase;Writing code;Documenting code;Search for answers,4,Deployment and monitoring,1,Project planning;Testing code,2,Creating or maintaining documentation;Learning new concepts or technologies,2,"Yes, Daily",Not at all or minimally,27306,5,,
Professional Developer,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10,Mid,10,Senior,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,Small,Healthcare,I'm not sure,Mild Interest in Changing,Argentina,HTML/CSS;Java;JavaScript;PHP;Python;R;Rust;SQL;TypeScript,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,9,MongoDB;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis;SQLite,4,Amazon Web Services (AWS);Cloudflare;Composer;Docker;Google Cloud;IBM Cloud;Kubernetes;Maven (build tool);Netlify;npm;Pip;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Composer;Docker;Netlify;npm;Pip,Amazon Web Services (AWS);Cloudflare;Composer;Docker;Netlify;npm;Pip,13,Angular;Django;Flask;React;Spring Boot;WordPress,Django;Flask;React;WordPress,Django;Flask;React;WordPress,6,IntelliJ IDEA;PhpStorm;PyCharm;Visual Studio Code,IntelliJ IDEA;PhpStorm;PyCharm;Visual Studio Code,IntelliJ IDEA;PhpStorm;PyCharm;Visual Studio Code,4,Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;X Grok models,Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;X Grok models,Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;X Grok models,7,5,Very favorable,Somewhat trust,Neither good nor bad,Testing code;Learning new concepts or technologies,2,Unknown,1,Project planning;Deployment and monitoring,2,Learning about a codebase;Debugging or fixing code;Committing and reviewing code;Predictive analytics;Creating or maintaining documentation,5,"Yes, Monthly/Infrequent","Yes, somewhat",36852,10,,
Professional Developer,35-44 years old,"Associate degree (A.A., A.S., etc.)",Employed,24,Senior,32,Senior,"Developer, full-stack",20 to 99 employees,Small,Retail and Consumer Services,No,No Career Change,United States of America,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,8,MariaDB;MongoDB;Redis;Snowflake;SQLite,MariaDB;MongoDB;PostgreSQL;Redis;SQLite;Valkey,MariaDB;MongoDB;Redis;SQLite,7,Amazon Web Services (AWS);Ansible;APT;Chocolatey;Composer;Datadog;Digital Ocean;Docker;Google Cloud;Homebrew;Kubernetes;Make;npm;Terraform;Webpack;Yarn,Amazon Web Services (AWS);Chocolatey;Composer;Datadog;Digital Ocean;Docker;Homebrew;Kubernetes;Make;npm;pnpm;Podman;Terraform;Vite;Yarn,Amazon Web Services (AWS);Chocolatey;Composer;Datadog;Digital Ocean;Docker;Homebrew;Kubernetes;Make;npm;Terraform;Yarn,19,AngularJS;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js,Deno;Express;Laravel;Next.js;Node.js;React,Express;Laravel;Next.js;Node.js;React,9,PhpStorm;Vim;Visual Studio Code,PhpStorm;Visual Studio Code;Windsurf,PhpStorm;Visual Studio Code,4,openAI GPT (chatbot models),openAI GPT (chatbot models),openAI GPT (chatbot models),1,5,Indifferent,Highly distrust,"Good, but not great ",Writing code;Debugging or fixing code;Testing code;Committing and reviewing code,4,Learning about a codebase;Project planning;Documenting code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,9,Unknown,1,Unknown,1,"No, Planning Soon","Yes, somewhat",241000,8,,
Non-Developer (Support/Occasional),65 years or older,Some college/university study without earning a degree,Retired,35,Senior,35,Senior,Data engineer,Unknown,Unknown,Government,,Unknown,United States of America,Bash/Shell (all shells);C++;Delphi;HTML/CSS;Python;SQL,C++;Delphi;HTML/CSS;Java;JavaScript;Python;SQL,C++;Delphi;HTML/CSS;Python;SQL,8,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite;Amazon Redshift,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,8,Amazon Web Services (AWS),Amazon Web Services (AWS);Docker;Gradle;Kubernetes;Maven (build tool),Amazon Web Services (AWS),5,Drupal,Angular;AngularJS;Drupal;Node.js;WordPress,Drupal,5,Eclipse;IntelliJ IDEA;Nano;Notepad++,Eclipse;IntelliJ IDEA;Nano;Notepad++,Eclipse;IntelliJ IDEA;Nano;Notepad++,4,Unknown,Unknown,Unknown,1,1,Unfavorable,Somewhat distrust,I don’t use AI / Don’t know,Unknown,1,Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,11,Learning about a codebase;Search for answers,2,Unknown,1,"No, no Plans","No, but my development work has significantly changed due to non-AI factors",185000,8,,
Professional Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,Senior,25,Senior,"Developer, full-stack","1,000 to 4,999 employees",Large,Healthcare,No,Strong Interest in Changing,Australia,Bash/Shell (all shells);C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),JavaScript;SQL;TypeScript,JavaScript;SQL;TypeScript,15,Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Firebase Realtime Database;Supabase;Cockroachdb;Amazon Redshift,Firebase Realtime Database,8,Amazon Web Services (AWS);APT;Bun;Chocolatey;Docker;Firebase;Google Cloud;Kubernetes;npm;NuGet;Pacman;Pip;pnpm;Podman;Splunk;Vite;Webpack,Amazon Web Services (AWS);Cloudflare;Docker;Firebase;Google Cloud;Vite,Amazon Web Services (AWS);Docker;Firebase;Google Cloud;Vite,18,Angular;AngularJS;ASP.NET;ASP.NET Core;Express;jQuery;Node.js;React,Node.js;React,Node.js;React,8,Nano;Neovim;Notepad++;Vim;Visual Studio;Visual Studio Code;VSCodium,Neovim;Visual Studio Code,Neovim;Visual Studio Code,7,Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models),Unknown,Unknown,4,5,Favorable,Somewhat trust,"Good, but not great ",Unknown,1,Learning about a codebase;Project planning;Deployment and monitoring;Predictive analytics;Search for answers,5,Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,8,Unknown,1,"No, no Plans","Yes, somewhat",102715,3,,
Professional Developer,45-54 years old,"Associate degree (A.A., A.S., etc.)",Employed,26,Senior,27,Senior,"Developer, full-stack",Less than 20 employees,Micro,Software Development,No,No Career Change,United States of America,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;F#;Python;Zig,Bash/Shell (all shells);C#,11,Microsoft SQL Server;MongoDB,Cosmos DB;PostgreSQL;Valkey,Unknown,6,Amazon Web Services (AWS);APT;Chocolatey;Cloudflare;Digital Ocean;Docker;Google Cloud;Microsoft Azure;MSBuild;npm;NuGet;pnpm,Bun;Digital Ocean;Docker;Microsoft Azure;MSBuild;NuGet;Vite,Digital Ocean;Docker;Microsoft Azure;MSBuild;NuGet,14,ASP.NET;ASP.NET Core;Blazor;Express;jQuery;Node.js,ASP.NET Core;Svelte,ASP.NET Core,7,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Rider;Visual Studio,Notepad++;Visual Studio,4,Unknown,Unknown,Unknown,1,2,Favorable,Somewhat trust,I don’t use AI / Don’t know,Unknown,1,Committing and reviewing code;Deployment and monitoring;Predictive analytics,3,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Search for answers;Creating or maintaining documentation;Learning new concepts or technologies,9,Generating content or synthetic data,1,"No, Planning Soon",Not at all or minimally,135000,9,,
Non-Developer (Support/Occasional),25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,4,Mid,7,Mid,Academic researcher,Unknown,Unknown,Unknown,I'm not sure,Mild Interest in Changing,Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust,Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust,Bash/Shell (all shells);JavaScript;Python;Rust,6,Unknown,Unknown,Unknown,1,Cargo;Google Cloud;Homebrew;Make;Maven (build tool);npm;Pip,Cargo;Make;Pip;Poetry,Cargo;Make;Pip,8,Unknown,Unknown,Unknown,1,Jupyter Notebook/JupyterLab;Nano;Sublime Text;Visual Studio Code;Zed,Android Studio;Jupyter Notebook/JupyterLab;Nano;Sublime Text;Zed,Jupyter Notebook/JupyterLab;Nano;Sublime Text;Zed,6,openAI GPT (chatbot models),DeepSeek (R- Reasoning models),Unknown,3,4,Unfavorable,Highly distrust,I don’t use AI / Don’t know,Project planning,1,Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Creating or maintaining documentation,8,Learning about a codebase;Debugging or fixing code;Search for answers;Learning new concepts or technologies,4,Unknown,1,"No, Planning Soon","Yes, somewhat",14563,8,,
Professional Developer,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Freelancer,1,Entry,12,Senior,"Developer, game or graphics","Just me - I am a freelancer, sole proprietor, etc.",Micro,Unknown,No,Strong Interest in Changing,United States of America,HTML/CSS;JavaScript;Lua;Python;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;Python;Ruby;Rust;TypeScript,HTML/CSS;JavaScript;Lua;Python;TypeScript,10,Unknown,Unknown,Unknown,1,npm;Vite,Amazon Web Services (AWS);Docker;Kubernetes;npm;Vite,npm;Vite,5,Node.js;React;Svelte,Node.js;Svelte,Node.js;Svelte,3,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,3,Unknown,Unknown,Unknown,1,1,Very unfavorable,Highly distrust,I don’t use AI / Don’t know,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,13,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,3000,3,,
